Candidate_ID,Years_Experience,Num_Skills,Education_Level,Interviews_Received
1,17,29,Bachelor,0
2,13,36,PhD,2
3,9,7,High School,1
4,12,41,PhD,3
5,11,27,Masters,1
6,10,47,High School,5
7,11,12,PhD,3
8,12,24,PhD,5
9,0,21,Bachelor,4
10,3,23,PhD,6
11,5,5,High School,1
12,7,39,Bachelor,4
13,5,27,High School,1
14,15,12,Masters,3
15,1,15,PhD,4
16,19,16,Masters,2
17,15,20,PhD,4
18,7,9,PhD,2
19,16,42,Masters,3
20,4,9,Bachelor,3
21,13,6,Masters,0
22,16,6,Masters,5
23,0,38,High School,8
24,16,25,High School,4
25,8,38,High School,1
26,1,35,High School,2
27,3,45,Masters,2
28,5,19,Masters,2
29,8,11,High School,2
30,1,6,Masters,2
31,8,40,PhD,2
32,4,20,PhD,3
33,6,11,Bachelor,5
34,1,20,High School,1
35,17,40,PhD,1
36,13,39,Bachelor,4
37,9,37,High School,2
38,2,19,PhD,2
39,10,30,PhD,2
40,0,49,Masters,2
41,14,18,Masters,6
42,16,25,High School,2
43,14,39,PhD,1
44,3,7,Bachelor,2
45,18,38,High School,1
46,9,43,Bachelor,1
47,14,46,High School,4
48,14,38,PhD,0
49,5,10,High School,6
50,10,28,High School,1
51,13,30,High School,3
52,6,35,High School,3
53,18,27,Masters,4
54,6,40,High School,0
55,7,29,PhD,0
56,18,38,High School,1
57,14,29,Masters,1
58,3,42,Masters,2
59,14,25,Masters,3
60,14,39,PhD,1
61,15,21,Masters,5
62,7,15,High School,2
63,5,33,High School,4
64,5,18,Bachelor,1
65,6,47,Masters,3
66,19,6,Masters,4
67,10,33,High School,0
68,19,24,Bachelor,1
69,1,28,Bachelor,3
70,7,23,PhD,6
71,0,9,Bachelor,1
72,4,17,Masters,1
73,10,45,Masters,4
74,1,46,Bachelor,1
75,8,12,High School,2
76,2,39,Masters,5
77,14,5,Masters,3
78,17,8,High School,3
79,0,10,High School,3
80,4,12,PhD,3
81,8,10,High School,2
82,2,11,Masters,4
83,0,25,Masters,1
84,18,34,Bachelor,4
85,4,5,Bachelor,2
86,11,45,High School,2
87,8,27,Bachelor,2
88,13,25,High School,3
89,17,34,Masters,3
90,5,42,PhD,3
91,0,28,Masters,4
92,7,21,Masters,5
93,1,30,High School,0
94,5,44,PhD,2
95,8,23,Masters,4
96,18,34,PhD,3
97,10,49,Bachelor,1
98,11,21,PhD,3
99,7,29,High School,5
100,15,20,Masters,3
